domain,classification,correct,labeller
snowgoer.com,news,news,ben
lockportjournal.com,news,news,ben
newidea.com.au,disinformation,news,ben
mikehuckabee.com,news,news,ben
practiceupdate.com,news,non_news,ben
goldrushcam.com,news,news,ben
techworld.com,news,news,ben
sify.com,news,news,ben
dxnews.com,news,news,ben
emarat-news.com,news,news,ben
digitaljournal.com,news,news,ben
journal-republican.com,news,news,ben
coastreportonline.com,news,news,ben
smallbiztrends.com,news,news,ben
malaymail.com,news,news,ben
radioamateur.org,news,non_news,ben
emerson.edu,non_news,non_news,ben
bcm-newspaper.de,news,non_news,ben
movieplayer.it,news,news,ben
nevadabusiness.com,news,news,ben
calbears.com,news,news,ben
federalwaymirror.com,news,news,ben
newstowers.com.ng,non_news,news,ben
enklawanetwork.pl,news,news,ben
picturesongold.com,news,non_news,ben
novanewsnow.com,news,news,ben
qt.com.au,non_news,news,ben
supergoodstuff.com,news,non_news,ben
cbs.com,news,non_news,ben
aplive24.com,news,news,ben
indiainfoline.com,news,news,ben
raptorshq.com,news,news,ben
info24.ru,disinformation,news,ben
actblue.com,news,non_news,jordan
nacacnet.org,news,non_news,jordan
tsnn.com,news,news,jordan
trustwave.com,news,non_news,jordan
gu.se,news,non_news,jordan
kfz-auskunft.de,news,news,jordan
elpopularnews.com,news,news,jordan
maryvilleforum.com,non_news,news,jordan
eplus.jp,news,news,jordan
sdfu.org,news,news,jordan
apts.org,news,non_news,jordan
idahonews.com,news,news,jordan
krqe.com,news,news,jordan
sovsport.ru,news,news,jordan
dailystarjournal.com,news,news,jordan
relevantradio.com,news,news,jordan
israeltoday.co.il,disinformation,news,jordan
packagingnews.co.uk,news,news,jordan
independent.co.uk,news,news,jordan
asicentral.com,news,non_news,jordan
elshowdevelez.com.ar,disinformation,news,jordan
cotswoldjournal.co.uk,disinformation,news,jordan
unlvrebels.com,news,non_news,jordan
ksdk.com,news,news,jordan
adorocinema.com,news,non_news,jordan
swedensun.com,news,news,jordan
guns.com,news,non_news,jordan
bradenton.com,news,news,jordan
wowt.com,news,news,jordan
campusmorningmail.com.au,disinformation,news,jordan
pharmafile.com,news,news,jordan
mobilemarketer.com,disinformation,news,jordan
acorns.com,news,non_news,jordan
clarionledger.com,news,news,austin
spreadshirt.com,news,non_news,austin
michmab.com,news,non_news,austin
tctmagazine.com,news,news,austin
1460espnyakima.com,non_news,news,austin
parnellservices.com,non_news,non_news,austin
medical-tribune.co.jp,news,news,austin
