host,source,url,available,labeller,archive,snapshot_date,target
dallasnews.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
newsmax.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
miamiherald.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
nationalpost.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
denverpost.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
deseretnews.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
stltoday.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
sfchronicle.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
newsday.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
wtop.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
sun-sentinel.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
theepochtimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
suntimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
detroitnews.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
kansascity.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
bostonherald.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
baltimoresun.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
syracuse.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
newrepublic.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
observer.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
sandiegouniontribune.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
orlandosentinel.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
reviewjournal.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
triblive.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
losangeles.cbslocal.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
militarytimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
globaltimes.cn,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
smartbrief.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
oklahoman.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
buffalonews.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
star-telegram.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
newsobserver.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
timesunion.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
statesman.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
dailyherald.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
calgaryherald.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
democratandchronicle.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
dailypioneer.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
thestate.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
assamtribune.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
journalstar.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
goodnewsnetwork.org,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
grandforksherald.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
edmontonjournal.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
truthdig.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
pressdemocrat.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
mediamatters.org,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
palmbeachpost.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
postandcourier.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
citypages.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
knoxnews.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
project-syndicate.org,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
telegram.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
rasmussenreports.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
duluthnewstribune.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
nwitimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
timescolonist.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
eastbaytimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
lehighvalleylive.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
gazette.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
lasvegassun.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
thestatesman.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
idahostatesman.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
dailynews.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
abqjournal.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
phoenixnewtimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
austinchronicle.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
orlandoweekly.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
ctpost.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
dallasobserver.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
journalnow.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
thenewstribune.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
thetimes-tribune.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
providencejournal.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
heraldnet.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
courierpress.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
metrotimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
heraldtribune.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
thechronicleherald.ca,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
kcchronicle.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
heraldextra.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
theguardian.pe.ca,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
timesfreepress.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
news-gazette.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
floridatoday.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
desertsun.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
winnipegfreepress.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
houstonpress.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
riverfronttimes.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
sfexaminer.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
dailycamera.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
news-journalonline.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
calgarysun.com,AWIS,https://docs.aws.amazon.com/AlexaWebInfoService/latest/index.html,TRUE,Webshrinker,None,None,news
