host,source,url,available,labeller,archive,snapshot_date,target
mavenroundtable.io,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
gifsound.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
soccerdigestweb.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
9jafoods.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
muxiv.net,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
dallasinnovates.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
eurohoops.net,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
presidency.gov.gh,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
tv-asahi.co.jp,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
alphasexy.pw,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
boredpanda.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
personalfinanceforbeginners.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
superlucky.me,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
tokyo-np.co.jp,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
thesolesupplier.co.uk,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
mognavi.jp,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
naijagoodies.co,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
bleedingcool.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
coinotaku.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
mod.go.jp,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
dlvr.it,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
freaksugar.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
vaguthu.mv,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
boredteachers.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
nagase-landauer.co.jp,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
kotobuki-anime.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
missingpeopleincanada.ca,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
agilitypr.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
omlet.me,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
oantagonista.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
blockonomi.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
bijutsutecho.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
introvertdear.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
back2gaming.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
parliament.uk,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
g.co,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
chohenken.com,Twitter,https://www.twitter.com,TRUE,Webshrinker,None,None,non_news
